channel,videos_found,total_views_in_sample,best_video_views,primary_niche,examples
Spotniks,1,1146349,1146349,"Logística, portos e aeroportos","[{""title"": ""The secret map that explains the violence in Brazil."", ""views"": 1146349, ""url"": ""https://www.youtube.com/watch?v=SuohBPpGRI0""}]"
infinitamente,1,1019939,1019939,"IA, tecnologia e software","[{""title"": ""O vídeo para entender a Inteligência Artificial de verdade"", ""views"": 1019939, ""url"": ""https://www.youtube.com/watch?v=V2POyQVQuzA""}]"
Diário de Biologia & História,1,1004098,1004098,Energia e rede elétrica,"[{""title"": ""💡 First City in BRAZIL to Have Electricity!"", ""views"": 1004098, ""url"": ""https://www.youtube.com/watch?v=RKqhaPy1O8A""}]"
Visão em 360,1,986024,986024,"IA, tecnologia e software","[{""title"": ""How a Single $400 Million Machine Is Taking Over the Chip World"", ""views"": 986024, ""url"": ""https://www.youtube.com/watch?v=Ua60rGoFIk0""}]"
Câmera Record,1,918417,918417,"Logística, portos e aeroportos","[{""title"": ""Câmera Record team shows the daily routine at the Port of Santos (SP)"", ""views"": 918417, ""url"": ""https://www.youtube.com/watch?v=QQ5hdZZ7o3w""}]"
Conhecimento Global,1,844412,844412,"IA, tecnologia e software","[{""title"": ""Why is electrical wiring in Brazil a mess? Full Documentary"", ""views"": 844412, ""url"": ""https://www.youtube.com/watch?v=AMYdcqAP1bs""}]"
Geobrasil,1,667680,667680,"IA, tecnologia e software","[{""title"": ""Industrialização Brasileira - Geobrasil"", ""views"": 667680, ""url"": ""https://www.youtube.com/watch?v=b8TlLqb07xs""}]"
Astrum Brasil,1,664378,664378,"IA, tecnologia e software","[{""title"": ""ALL about the VOYAGER PROGRAM | Astrum Brasil"", ""views"": 664378, ""url"": ""https://www.youtube.com/watch?v=EbLcY06QwY4""}]"
Moconomy - Economia e Finanças,4,927704,661788,"Finanças, dinheiro e impostos","[{""title"": ""O sistema monetário | Documentário financeiro"", ""views"": 209592, ""url"": ""https://www.youtube.com/watch?v=cyu7zVzIq-s""}, {""title"": ""The Economy of the Future | Documentary"", ""views"": 50280, ""url"": ""https://www.youtube.com/watch?v=BQC7lSQvlZ4""}, {""title"": ""The Dark Web | Illegal Marketplace | Free Documentaries"", ""views"": 661788, ""url"": ""https://www.youtube.com/watch?v=Ka2o8qpvXJs""}]"
Ciência Todo Dia,1,599261,599261,"IA, tecnologia e software","[{""title"": ""Nós precisamos conversar sobre DATA CENTERS"", ""views"": 599261, ""url"": ""https://www.youtube.com/watch?v=H-oUbF5M7Mk""}]"
Brasil Paralelo,2,648000,523514,Documentário/curiosidade geral,"[{""title"": ""The plan to paralyze Brazil's infrastructure."", ""views"": 124486, ""url"": ""https://www.youtube.com/watch?v=Eg6VZ9FKE2g""}, {""title"": ""What is Bitcoin? How does this cryptocurrency work?"", ""views"": 523514, ""url"": ""https://www.youtube.com/watch?v=bbfRK6J47Kk""}]"
Mauri Heffelmann,1,503966,503966,Energia e rede elétrica,"[{""title"": ""A História Da Eletricidade ep. 2 A Era Da Invenção"", ""views"": 503966, ""url"": ""https://www.youtube.com/watch?v=t5m-9vjCe1g""}]"
Urbana,1,466517,466517,"Logística, portos e aeroportos","[{""title"": ""Como o Brasil Construiu o Maior Aeroporto da América Latina"", ""views"": 466517, ""url"": ""https://www.youtube.com/watch?v=8St_OiaQwmo""}]"
Sam Cursos & Treinamentos,1,441057,441057,Energia e rede elétrica,"[{""title"": ""Como identificar as FASES  na rede de alta tensão e na rede de baixa tensão"", ""views"": 441057, ""url"": ""https://www.youtube.com/watch?v=UmOSpRmShvg""}]"
quimicadubiologo,1,439567,439567,"Água, saneamento e clima","[{""title"": ""documentário \""O Brasil sem o básico\"" (saneamento básico)"", ""views"": 439567, ""url"": ""https://www.youtube.com/watch?v=UwmLRxdEahc""}]"
Toda Matéria,1,432774,432774,"IA, tecnologia e software","[{""title"": ""Brazilian Industrialization - All Matter"", ""views"": 432774, ""url"": ""https://www.youtube.com/watch?v=PAf4nl2CcLs""}]"
Arquivo Mistério,1,422236,422236,"Logística, portos e aeroportos","[{""title"": ""\""How I Escaped a Human Trafficking Ring\"" | Claudia Cunha"", ""views"": 422236, ""url"": ""https://www.youtube.com/watch?v=6nEYQVZPpn8""}]"
Fatos Desconhecidos,1,421211,421211,"Finanças, dinheiro e impostos","[{""title"": ""O MAIOR ROUBO DA HISTÓRIA DO BRASIL: R$164 Milhões Sumiram do Banco Central!"", ""views"": 421211, ""url"": ""https://www.youtube.com/watch?v=gFiEOeP2WYU""}]"
Rob Correa,1,403641,403641,"Finanças, dinheiro e impostos","[{""title"": ""4 YEARS OF THE LULA ADMINISTRATION IN 13 MINUTES (focusing on the economy)"", ""views"": 403641, ""url"": ""https://www.youtube.com/watch?v=UkiiDm_y_XY""}]"
Rede TVT,2,391717,385390,"Água, saneamento e clima","[{""title"": ""🔴 Políticas de Saúde no Brasil – Documentário de Renato Tapajós"", ""views"": 385390, ""url"": ""https://www.youtube.com/watch?v=EOACL0yhxBU""}, {""title"": ""Brasil Metal: A 20-Part Documentary Series on the Metalworking Industry."", ""views"": 6327, ""url"": ""https://www.youtube.com/watch?v=HYdvoFrj_ks""}]"
Gilmar Barreto,1,365239,365239,Energia e rede elétrica,"[{""title"": ""Conexões Residenciais na Rede  Elétrica"", ""views"": 365239, ""url"": ""https://www.youtube.com/watch?v=ettHn5GRbgI""}]"
Deloitte Brasil,1,341940,341940,"Logística, portos e aeroportos","[{""title"": ""Documentário Industria 4.0"", ""views"": 341940, ""url"": ""https://www.youtube.com/watch?v=QWWQr6TmWGQ""}]"
Professora Vilma Ribeiro,1,326302,326302,"Água, saneamento e clima","[{""title"": ""Basic Sanitation"", ""views"": 326302, ""url"": ""https://www.youtube.com/watch?v=4iY9a3v4R0A""}]"
PrimoCast,1,316173,316173,Energia e rede elétrica,"[{""title"": ""ENERGIA SOLAR É O FUTURO DO MUNDO | PrimoCast 346"", ""views"": 316173, ""url"": ""https://www.youtube.com/watch?v=N8M5KlD_72M""}]"
Desvendando a Geografia,1,306767,306767,"IA, tecnologia e software","[{""title"": ""Industrialização brasileira"", ""views"": 306767, ""url"": ""https://www.youtube.com/watch?v=B9lXVVA2vgE""}]"
History Documentários,1,302858,302858,"IA, tecnologia e software","[{""title"": ""Einstein: Os Segredos do Gênio - Documentário History Channel Brasil"", ""views"": 302858, ""url"": ""https://www.youtube.com/watch?v=walIJVOwS1k""}]"
Fala Cientista,1,296550,296550,"IA, tecnologia e software","[{""title"": ""How did the INTERNET come about? One of the technologies we use most in our daily lives! | Scient..."", ""views"": 296550, ""url"": ""https://www.youtube.com/watch?v=S7d371WsIt0""}]"
Além dos Trilhos Ofc,1,280271,280271,Documentário/curiosidade geral,"[{""title"": ""FEPASA: THE GIANT SÃO PAULO RAILWAY | FULL VIDEO"", ""views"": 280271, ""url"": ""https://www.youtube.com/watch?v=_7T6sr5bW04""}]"
Nerinho Matias,1,229268,229268,Energia e rede elétrica,"[{""title"": ""VIAGENS NA ELETRICIDADE COMPLETO"", ""views"": 229268, ""url"": ""https://www.youtube.com/watch?v=HOfNPwdF_es""}]"
InvestNews BR,1,225584,225584,"IA, tecnologia e software","[{""title"": ""O que está por trás do bilionário data center do TikTok no Ceará"", ""views"": 225584, ""url"": ""https://www.youtube.com/watch?v=jLUrLpZZJ3w""}]"
Bruna Benazzi,1,219669,219669,"Logística, portos e aeroportos","[{""title"": ""I've arrived at the airport, NOW WHAT? | Step-by-Step Guide for Your First Trip"", ""views"": 219669, ""url"": ""https://www.youtube.com/watch?v=25RjUZ1Cr94""}]"
Tuttle Twins em Português,1,215947,215947,"Finanças, dinheiro e impostos","[{""title"": ""Learn more about Bitcoin in 20 minutes than a Harvard professor | Tuttle Twins in Portuguese"", ""views"": 215947, ""url"": ""https://www.youtube.com/watch?v=Ehk8RGi_Xwc""}]"
Mundo Proibido,1,161485,161485,"IA, tecnologia e software","[{""title"": ""ARTIFICIAL INTELLIGENCE and the DESTINY OF HUMANITY I Documentary"", ""views"": 161485, ""url"": ""https://www.youtube.com/watch?v=e-TZ8HaHDWA""}]"
Desvende & Descubra,1,158978,158978,Energia e rede elétrica,"[{""title"": ""O Que Realmente é a Energia?"", ""views"": 158978, ""url"": ""https://www.youtube.com/watch?v=XObTWmFBTIg""}]"
geo ilustrada,1,156979,156979,"IA, tecnologia e software","[{""title"": ""Brazilian industrialization, from the VARGAS ERA to JUSCELINO KUBITSCHEK"", ""views"": 156979, ""url"": ""https://www.youtube.com/watch?v=8NXG3cLxe2A""}]"
nstech,1,154877,154877,"Logística, portos e aeroportos","[{""title"": ""Episódio 1: Hiperinflação e os tempos do estoque (1980-1993) | SUA ENCOMENDA CHEGOU"", ""views"": 154877, ""url"": ""https://www.youtube.com/watch?v=G4o8E6gbWtM""}]"
DW Brasil,2,163833,152005,Energia e rede elétrica,"[{""title"": ""A energia solar é realmente limpa?"", ""views"": 11828, ""url"": ""https://www.youtube.com/watch?v=3-5VGCs3o0E""}, {""title"": ""O mundo está secando – e tem gente lucrando com isso"", ""views"": 152005, ""url"": ""https://www.youtube.com/watch?v=8NkhiXFg6dE""}]"
Engenharia Detalhada,3,274560,151677,Energia e rede elétrica,"[{""title"": ""O Ciclo da ELETRICIDADE: Geração, Transmissão e Distribuição. Desvendando o Caminho da ELETRICIDADE"", ""views"": 114827, ""url"": ""https://www.youtube.com/watch?v=VdKKj9xrWwM""}, {""title"": ""Como realmente funciona uma TORRE DE TRANSMISSÃO"", ""views"": 151677, ""url"": ""https://www.youtube.com/watch?v=J0HiEw3zUUU""}, {""title"": ""Why do we have a WATER CRISIS in BRAZIL? How can ENGINEERING help in the WATER CRISIS?"", ""views"": 8056, ""url"": ""https://www.youtube.com/watch?v=02QNVh8E9r8""}]"
Hackone | CCIE Lucas Palma,1,147688,147688,"IA, tecnologia e software","[{""title"": ""CONHEÇA A PROFISSÃO CIBERSEGURANÇA | DOCUMENTÁRIO"", ""views"": 147688, ""url"": ""https://www.youtube.com/watch?v=NBPOCB05o9E""}]"
Cortes do Inteligência [OFICIAL],2,168886,138022,"Logística, portos e aeroportos","[{""title"": ""Federal Revenue Auditor Explains His Job - Paulo Angelito (Airport - Restricted Area)"", ""views"": 30864, ""url"": ""https://www.youtube.com/watch?v=CJBDH1vXGRo""}, {""title"": ""What is it like to WORK at the Federal Revenue Service? - AIRPORT: RESTRICTED AREA"", ""views"": 138022, ""url"": ""https://www.youtube.com/watch?v=G0xepmr2IJ0""}]"
Instituto Trata Brasil,2,234089,130753,"Água, saneamento e clima","[{""title"": ""Documentário com os Embaixadores do Trata Brasil - A realidade do Saneamento Básico no país"", ""views"": 103336, ""url"": ""https://www.youtube.com/watch?v=69N9aYM9bco""}, {""title"": ""Documentário A Luta Pelo Básico - Saneamento Salvando Vidas"", ""views"": 130753, ""url"": ""https://www.youtube.com/watch?v=6J9g0SLYUQM""}]"
CRIPTOMANIACOS,1,123313,123313,"Finanças, dinheiro e impostos","[{""title"": ""Bitcoin: A Riqueza da Próxima Geração (DOCUMENTÁRIO)"", ""views"": 123313, ""url"": ""https://www.youtube.com/watch?v=FPazcUZbJrU""}]"
Eu Quero Investir,1,121240,121240,"Finanças, dinheiro e impostos","[{""title"": ""THE INCREDIBLE STORY OF THE STOCK EXCHANGE!"", ""views"": 121240, ""url"": ""https://www.youtube.com/watch?v=WhgVcGgXXN0""}]"
Richard Rasmussen,1,119478,119478,"IA, tecnologia e software","[{""title"": ""THE SECRET OF SOYBEAN! HOW TECHNOLOGY TRANSFORMED AGRIBUSINESS! 🌱🚜"", ""views"": 119478, ""url"": ""https://www.youtube.com/watch?v=qp_IPGAY948""}]"
Repórter Brasil,1,115888,115888,"Finanças, dinheiro e impostos","[{""title"": ""'GIG - A Uberização do Trabalho' - versão completa do documentário da Repórter Brasil"", ""views"": 115888, ""url"": ""https://www.youtube.com/watch?v=cMPnAfrMLCk""}]"
Intercept Brasil,2,150547,114151,"IA, tecnologia e software","[{""title"": ""Why do data centers consume so much water and energy?"", ""views"": 114151, ""url"": ""https://www.youtube.com/watch?v=lHYyRY1Zm4Y""}, {""title"": ""\""AI City\"": Projeto bilionário de Data Center avança em Eldorado do Sul"", ""views"": 36396, ""url"": ""https://www.youtube.com/watch?v=zOR9l5XMPgE""}]"
PROJETO CAMINHONEIROS DO BRASIL,1,99596,99596,"Logística, portos e aeroportos","[{""title"": ""BRAZIL’S TRUCKERS - DOCUMENTARY"", ""views"": 99596, ""url"": ""https://www.youtube.com/watch?v=_DevofQ5Fm4""}]"
André Brito,1,97125,97125,"IA, tecnologia e software","[{""title"": ""Tour inside the largest data center in Latin America ft. @SaveInCloud"", ""views"": 97125, ""url"": ""https://www.youtube.com/watch?v=joxzzGfCanA""}]"
Insider Português,1,94099,94099,"IA, tecnologia e software","[{""title"": ""O Lado Sombrio da Explosão dos Data Centers de IA nos Estados Unidos | Visão Aérea"", ""views"": 94099, ""url"": ""https://www.youtube.com/watch?v=in9edgvFaC0""}]"
Rafael Brum,1,90286,90286,"Logística, portos e aeroportos","[{""title"": ""Coca-Cola Logistics Video"", ""views"": 90286, ""url"": ""https://www.youtube.com/watch?v=9LCBxz1NPpQ""}]"
Lavoura Santa,1,89425,89425,"Água, saneamento e clima","[{""title"": ""Documentary - The Future of Water: Challenge of the Century (official full film)"", ""views"": 89425, ""url"": ""https://www.youtube.com/watch?v=WZkEws3Ubcw""}]"
VintageLab Silvio Pinheiro,1,87171,87171,Energia e rede elétrica,"[{""title"": ""A Viagem na Eletricidade - COMPLETO EM PORTUGUÊS - Animação sobre princípios de eletrônica."", ""views"": 87171, ""url"": ""https://www.youtube.com/watch?v=c3KAW6LOcSY""}]"
Curioso Mercado,1,76300,76300,"Finanças, dinheiro e impostos","[{""title"": ""How Bloomberg REVOLUTIONIZED the financial market"", ""views"": 76300, ""url"": ""https://www.youtube.com/watch?v=vfohvrnc4FI""}]"
Documentários e Vídeos Incríveis,1,72695,72695,"Água, saneamento e clima","[{""title"": ""ÁGUA: FONTE DE VIDA. DOCUMENTÁRIO COMPLETO EM HD"", ""views"": 72695, ""url"": ""https://www.youtube.com/watch?v=BeBv6kRvg6M""}]"
TIMES BRASIL - LICENCIADO EXCLUSIVO CNBC,1,68346,68346,"Finanças, dinheiro e impostos","[{""title"": ""EXCLUSIVE DOCUMENTARY: WARREN BUFFETT – THE MEGAINVESTOR | August 27, 2025"", ""views"": 68346, ""url"": ""https://www.youtube.com/watch?v=eV2qOya2-mc""}]"
SescTV,1,67903,67903,Documentário/curiosidade geral,"[{""title"": ""O Brasil nasceu urbano"", ""views"": 67903, ""url"": ""https://www.youtube.com/watch?v=Uk8TstZPZYo""}]"
TV Aparecida,1,65535,65535,Energia e rede elétrica,"[{""title"": ""Arquivo A: energias renováveis"", ""views"": 65535, ""url"": ""https://www.youtube.com/watch?v=M60dwtNk6sY""}]"
Com Ciência,1,64993,64993,"Água, saneamento e clima","[{""title"": ""WHAT IS BASIC SANITATION?"", ""views"": 64993, ""url"": ""https://www.youtube.com/watch?v=pf6niaANT0g""}]"
Alimentando Conhecimento,1,60851,60851,Energia e rede elétrica,"[{""title"": ""Why does Brazil have two different voltage standards?"", ""views"": 60851, ""url"": ""https://www.youtube.com/watch?v=86xvSavZmak""}]"
Jornalismo TV Cultura,3,118717,60806,"Finanças, dinheiro e impostos","[{""title"": ""Brazilians suffer cyberscam attempts in 2021"", ""views"": 838, ""url"": ""https://www.youtube.com/watch?v=WgfxAWKVaoA""}, {""title"": ""Documentary | Green Economy - Sustainability and Profit | 12/10/2023"", ""views"": 60806, ""url"": ""https://www.youtube.com/watch?v=1EWgQj2uoNM""}, {""title"": ""Documentário | A Energia do Futuro"", ""views"": 57073, ""url"": ""https://www.youtube.com/watch?v=Bit8Qi797Ic""}]"
Elétrica sem Limites,2,78037,59815,Energia e rede elétrica,"[{""title"": ""Algumas curiosidades sobre as  linhas de transmissão de energia elétrica"", ""views"": 59815, ""url"": ""https://www.youtube.com/watch?v=ugky0tnx_BA""}, {""title"": ""Why is electricity transmitted at high voltage?"", ""views"": 18222, ""url"": ""https://www.youtube.com/watch?v=I0FPIOpgSSg""}]"
Energia Sempre com Você,1,59770,59770,Energia e rede elétrica,"[{""title"": ""Entenda o setor elétrico e a geração distribuída"", ""views"": 59770, ""url"": ""https://www.youtube.com/watch?v=L5bDpK1UcBU""}]"
O POVO and 2 more,1,59349,59349,"IA, tecnologia e software","[{""title"": ""See how the largest Data Center in Ceará works from the inside | Special Report - EP2"", ""views"": 59349, ""url"": ""https://www.youtube.com/watch?v=o_wYtyx56xk""}]"
Brasil de Fato,1,58550,58550,"IA, tecnologia e software","[{""title"": ""Máquinas Chinesas, Terras Camponesas: tecnologia para alimentar o Brasil"", ""views"": 58550, ""url"": ""https://www.youtube.com/watch?v=A1GZgz2dUlU""}]"
Mapalogia: Informe-se através de mapas!,1,57404,57404,Energia e rede elétrica,"[{""title"": ""De onde vem a ENERGIA consumida no Brasil? MAPAS das matrizes energética e elétrica brasileiras!"", ""views"": 57404, ""url"": ""https://www.youtube.com/watch?v=mh_Dd8xjZAY""}]"
Conselho Emp. Brasileiro para o Desenvolvimento Sustentável CEBDS,1,54087,54087,"Logística, portos e aeroportos","[{""title"": ""Logística Reversa - Brasil 2050    2ª Temporada"", ""views"": 54087, ""url"": ""https://www.youtube.com/watch?v=1BFA8nPh2Hs""}]"
TV Cultura,1,51958,51958,"IA, tecnologia e software","[{""title"": ""Documentário | TERRA QUE ALIMENTA - 05/02/2025"", ""views"": 51958, ""url"": ""https://www.youtube.com/watch?v=-DcmHbmIq0Y""}]"
Grupo de Estudos Materialismo Histórico e Dialético,1,49362,49362,"IA, tecnologia e software","[{""title"": ""A História da Industria Brasileira - parte 1"", ""views"": 49362, ""url"": ""https://www.youtube.com/watch?v=C5ru8FNGYus""}]"
Bracell,1,45837,45837,"IA, tecnologia e software","[{""title"": ""Desafios da Engenharia: A Fábrica do Futuro | Documentário Completo"", ""views"": 45837, ""url"": ""https://www.youtube.com/watch?v=peZX-aFonKY""}]"
Foucault Nietzsche,1,41597,41597,"Finanças, dinheiro e impostos","[{""title"": ""Trabalho Interno ( Inside Job ) DUBLADO PORTUGUÊS BRASIL"", ""views"": 41597, ""url"": ""https://www.youtube.com/watch?v=VUGhPpZyMOQ""}]"
SBT News,2,54459,37026,"IA, tecnologia e software","[{""title"": ""Brasil Agro: O uso da tecnologia no campo | SBT Brasil (31/08/23)"", ""views"": 17433, ""url"": ""https://www.youtube.com/watch?v=xI0kfGJjrrI""}, {""title"": ""O Caminho da Indústria: série especial no SBT faz um raio-x do setor industrial brasileiro"", ""views"": 37026, ""url"": ""https://www.youtube.com/watch?v=IhyIAmCo3Q8""}]"
Brasil Indomavel,2,43901,33701,"Finanças, dinheiro e impostos","[{""title"": ""Como o dinheiro sai do Banco Central e entra na economia? - Lengedado Português Br - 1/3"", ""views"": 33701, ""url"": ""https://www.youtube.com/watch?v=YocaEuldzKY""}, {""title"": ""Como o dinheiro sai do Banco Central e entra na economia? - Lengedado Português Br - 2/3"", ""views"": 10200, ""url"": ""https://www.youtube.com/watch?v=QO3xR9HKg0U""}]"
Discípulo de Satoshi,1,32514,32514,"Finanças, dinheiro e impostos","[{""title"": ""The incredible story of Bitcoin."", ""views"": 32514, ""url"": ""https://www.youtube.com/watch?v=UavkvWZ5_E8""}]"
Angelo Economista,1,31074,31074,"Logística, portos e aeroportos","[{""title"": ""The 10 main ports in Brazil"", ""views"": 31074, ""url"": ""https://www.youtube.com/watch?v=qSI0L8WqtKs""}]"
VTV News,1,30899,30899,"Logística, portos e aeroportos","[{""title"": ""See how a port works from the inside"", ""views"": 30899, ""url"": ""https://www.youtube.com/watch?v=zI7QSDXQ0vg""}]"
joao carlos silva,1,30205,30205,"Finanças, dinheiro e impostos","[{""title"": ""Como é feito Dinheiro? De modo simples entenda o sistema monetário."", ""views"": 30205, ""url"": ""https://www.youtube.com/watch?v=s_7PIwgBx_w""}]"
Rádio e TV Justiça,1,29677,29677,"Finanças, dinheiro e impostos","[{""title"": ""🎥 Documentário - Educação financeira"", ""views"": 29677, ""url"": ""https://www.youtube.com/watch?v=crVDjTPC_po""}]"
Luper ,1,22334,22334,"Finanças, dinheiro e impostos","[{""title"": ""Documentário Cryptopia - Dublado | Criptomoedas | Blockchain | Bitcoin"", ""views"": 22334, ""url"": ""https://www.youtube.com/watch?v=3AcNNffmkVE""}]"
Farnel “Rendaextra50altcoins” magalhães,1,22286,22286,"IA, tecnologia e software","[{""title"": ""Documentary The True Story of the Internet 01 The Browser Wars Discovery Channel"", ""views"": 22286, ""url"": ""https://www.youtube.com/watch?v=md75xDy4ikk""}]"
Matheus Azevedo,1,21763,21763,"Finanças, dinheiro e impostos","[{""title"": ""Documentário – Tributo: Origem e Destino (TV Câmara)"", ""views"": 21763, ""url"": ""https://www.youtube.com/watch?v=CYLqCBxOBlY""}]"
Getpower Educação,1,17022,17022,Energia e rede elétrica,"[{""title"": ""Aula 01 - O Mercado de Energia Solar no Brasil e no Mundo - Academia do Sol"", ""views"": 17022, ""url"": ""https://www.youtube.com/watch?v=7FM76QnwpHM""}]"
Edesio Lopes,1,16294,16294,"Logística, portos e aeroportos","[{""title"": ""Reportagem do Fantástico sobre Infraestrutura de Transportes - Ferrovias e Portos"", ""views"": 16294, ""url"": ""https://www.youtube.com/watch?v=XFzfKHN0CBI""}]"
Prosa Press | Documentários e Inovação,1,13695,13695,"IA, tecnologia e software","[{""title"": ""Innovation Ecosystems: Agro Revolution"", ""views"": 13695, ""url"": ""https://www.youtube.com/watch?v=U04V6E0Bo6A""}]"
Brasil Construido ,1,13402,13402,"Água, saneamento e clima","[{""title"": ""Como Construíram 477 Km de Canais Para Levar Água ao Sertão"", ""views"": 13402, ""url"": ""https://www.youtube.com/watch?v=0_JY0BZKAYA""}]"
Permacultura,1,13339,13339,"Água, saneamento e clima","[{""title"": ""A Crise da Água"", ""views"": 13339, ""url"": ""https://www.youtube.com/watch?v=tRqy103g1lg""}]"
Documentário Filhos do Vento ,1,12970,12970,Energia e rede elétrica,"[{""title"": ""Filhos do Vento: Energia Eólica e Impactos Socioambientais no Quilombo do Cumbe"", ""views"": 12970, ""url"": ""https://www.youtube.com/watch?v=hNjRzGMewbI""}]"
Laena Vasconcelos,1,11795,11795,"Logística, portos e aeroportos","[{""title"": ""Fantástico-Transporte de cargas no Brasil é dos mais caros e ineficientes do mundo."", ""views"": 11795, ""url"": ""https://www.youtube.com/watch?v=_5QwkGeG6Kg""}]"
Professor Rômulo Cravinho,1,9049,9049,"Finanças, dinheiro e impostos","[{""title"": ""1 2 Primeira Semana   História da Industrialização Brasileira   Documentário"", ""views"": 9049, ""url"": ""https://www.youtube.com/watch?v=p-NIsG2O4Rw""}]"
Banco Central do Brasil,1,8937,8937,"Finanças, dinheiro e impostos","[{""title"": ""BC te Explica #58 - Por que o prédio do BC é assim?"", ""views"": 8937, ""url"": ""https://www.youtube.com/watch?v=Ik_f49j4ExM""}]"
GilbertoCastro,1,6752,6752,"Logística, portos e aeroportos","[{""title"": ""PORTO - Saiba os procedimento da chegada do navio a saída da carga."", ""views"": 6752, ""url"": ""https://www.youtube.com/watch?v=u_wc1l8DmGM""}]"
